,jngIfrmpRgsno,brno,crno,corpNm,brandNm,jnghdqrtrsRprsvNm,indutyLclasNm,indutyMlsfcNm,jngBizStrtDate,jngIfrmpRgsDt,yr,ifrmpRlsDocRgsDate,ifrmpRlsDocExstYn
7898,20230904,8794800413,,우리집밥상,거작뼈해장국,박흥철,외식,한식,,1687359600000,2023,,N
7899,20230905,1460502482,,모션업pt,모션업pt,안기호,서비스,스포츠 관련,20220902,1687359600000,2023,,N
7900,20230906,4218800199,1101115878264,(주)이엔디오,우동가조쿠,정해진,외식,일식,20151102,1687359600000,2023,,N
7901,20230907,2953800348,,스타에델치킨본점,스타에델치킨,송명재,외식,치킨,,1687359600000,2023,,N
7902,20230908,6082448482,,페로어페로,페로어페로,이샛별,외식,기타 외식,,1687359600000,2023,,N
7903,20230909,6091279267,,커피앤티코리아,커피앤티,이창재,도소매,기타도소매,,1687359600000,2023,,N
7904,20230910,6977100288,,아프리카막창,아프리카 막창,김소정,외식,한식,,1687359600000,2023,,N
7905,20230911,8638602626,1501110331540,(주)키즈팩토리,청담테이블,채원석,도소매,기타도소매,,1687359600000,2023,,N
7906,20230912,8734600522,,분더커피바(WUNDERCOFFEEBAR),분더커피바(wundercoffeebar),김길영,외식,커피,,1687359600000,2023,,N
7907,20230913,2300103959,,현차이나,현차이나,현종규,외식,중식,,1687359600000,2023,,N
7908,20230914,6998700776,1201110904286,(주)이엔에프엔비우이며녹,우이며녹,간호승,외식,기타 외식,,1687359600000,2023,,N
7909,20230915,1716000441,,그로운베이커리,그로운베이커리,장지영,외식,제과제빵,,1687359600000,2023,,N
7910,20230916,2940402111,,지하102호2호점,지하102호,박홍자,외식,주점,,1687359600000,2023,,N
7911,20230917,4304800955,,웜브로,게임스트리트,황석환,서비스,기타 서비스,,1687446000000,2023,,N
7912,20230918,7461001481,,봉평막국수손만두,농부가막국수,목기보,외식,한식,,1687446000000,2023,,N
7913,20230919,4997000445,,비프룻,비프룻,이종숙,도소매,농수산물,,1687446000000,2023,,N
